number,generated_file,original_file,capture_date,display_date,width,height,optimized_bytes,thumbnail_bytes
160,bgfs-0160.jpg,IMG_20251212_160348.jpg,2025-12-12,"December 12, 2025",1802,2400,547223,50186
161,bgfs-0161.jpg,IMG_20251212_160408.jpg,2025-12-12,"December 12, 2025",2400,1802,571054,50885
162,bgfs-0162.jpg,IMG_20251212_065653.jpg,2025-12-12,"December 12, 2025",2400,1802,644547,50728
163,bgfs-0163.jpg,IMG_20251206_084656.jpg,2025-12-06,"December 6, 2025",1802,2400,941190,80341
164,bgfs-0164.jpg,IMG_20251203_073831.jpg,2025-12-03,"December 3, 2025",1802,2400,977897,87928
165,bgfs-0165.jpg,IMG_20251203_073454.jpg,2025-12-03,"December 3, 2025",2400,1802,1048013,110164
166,bgfs-0166.jpg,IMG_20251203_073438.jpg,2025-12-03,"December 3, 2025",2400,1802,1161155,99720
167,bgfs-0167.jpg,IMG_20251203_073822.jpg,2025-12-03,"December 3, 2025",2400,1802,910056,88810
168,bgfs-0168.jpg,IMG_20251128_064947.jpg,2025-11-28,"November 28, 2025",2400,1802,1075547,97626
169,bgfs-0169.jpg,IMG_20251128_064924.jpg,2025-11-28,"November 28, 2025",2400,1802,1022743,91434
170,bgfs-0170.jpg,IMG_20251127_143646.jpg,2025-11-27,"November 27, 2025",1802,2400,753132,86569
171,bgfs-0171.jpg,IMG_20251127_151132.jpg,2025-11-27,"November 27, 2025",2400,1802,1058839,96024
172,bgfs-0172.jpg,IMG_20251127_151127.jpg,2025-11-27,"November 27, 2025",2400,1802,909029,87041
173,bgfs-0173.jpg,IMG_20251127_162205.jpg,2025-11-27,"November 27, 2025",2400,1802,823886,88708
174,bgfs-0174.jpg,IMG_20251127_133743.jpg,2025-11-27,"November 27, 2025",2400,1802,800099,68953
175,bgfs-0175.jpg,IMG_20251127_141201.jpg,2025-11-27,"November 27, 2025",2400,1802,1049549,100034
176,bgfs-0176.jpg,IMG_20251127_154434.jpg,2025-11-27,"November 27, 2025",2400,1802,747602,85697
177,bgfs-0177.jpg,IMG_20251127_145951.jpg,2025-11-27,"November 27, 2025",2400,1802,875243,89308
178,bgfs-0178.jpg,IMG_20251126_093958.jpg,2025-11-26,"November 26, 2025",1802,2400,1099552,103661
179,bgfs-0179.jpg,IMG_20251125_111704.jpg,2025-11-25,"November 25, 2025",1802,2400,963844,90787
180,bgfs-0180.jpg,IMG_20251124_103457.jpg,2025-11-24,"November 24, 2025",2400,1802,1364986,117693
181,bgfs-0181.jpg,IMG_20251124_103428.jpg,2025-11-24,"November 24, 2025",2400,1802,1520365,121020
182,bgfs-0182.jpg,IMG_20251123_130626.jpg,2025-11-23,"November 23, 2025",2400,1802,1066729,94732
183,bgfs-0183.jpg,IMG_20251123_132037.jpg,2025-11-23,"November 23, 2025",2400,1802,1166353,106923
184,bgfs-0184.jpg,IMG_20251123_132051.jpg,2025-11-23,"November 23, 2025",1802,2400,1504904,119596
185,bgfs-0185.jpg,IMG_20251121_161649.jpg,2025-11-21,"November 21, 2025",1802,2400,705995,81027
186,bgfs-0186.jpg,IMG_20251121_161709.jpg,2025-11-21,"November 21, 2025",1802,2400,668979,66650
187,bgfs-0187.jpg,IMG_20251118_065449.jpg,2025-11-18,"November 18, 2025",2400,1802,718774,79911
188,bgfs-0188.jpg,IMG_20251115_085218.jpg,2025-11-15,"November 15, 2025",1802,2400,646869,65160
189,bgfs-0189.jpg,IMG_20251115_095925.jpg,2025-11-15,"November 15, 2025",2400,1802,1030195,97194
190,bgfs-0190.jpg,IMG_20251115_092822.jpg,2025-11-15,"November 15, 2025",1802,2400,550784,55624
191,bgfs-0191.jpg,IMG_20251115_084122.jpg,2025-11-15,"November 15, 2025",2400,1802,697263,70948
192,bgfs-0192.jpg,IMG_20251114_080614.jpg,2025-11-14,"November 14, 2025",1802,2400,921742,64190
193,bgfs-0193.jpg,IMG_20251113_064942.jpg,2025-11-13,"November 13, 2025",2400,1802,807980,66504
194,bgfs-0194.jpg,IMG_20251112_094643.jpg,2025-11-12,"November 12, 2025",2400,1802,678073,62371
195,bgfs-0195.jpg,IMG_20251112_134140.jpg,2025-11-12,"November 12, 2025",1802,2400,1192952,93327
